0.4,0.9,0,39.6,-156,-384
0.4,0.95,0,41.4,-162,-380
0.4,1,0,42.2,-165,-378
0.4,1.05,0,42.7,-167,-377
0.4,1.1,0,44,-172,-372
0.4,1.15,0,44.5,-174,-369
0.4,1.2,0,46,-179,-366
0.4,1.25,0,46,-179,-364
0.4,1.3,0,47,-183,-362
0.4,1.35,0,48.3,-187,-358
0.4,1.4,0,48.6,-188,-356
0.4,1.45,0,50.1,-193,-353
0.4,1.5,0,50.6,-195,-351
0.4,0,0,10.1,-42,-444
0.4,0,0.05,9.5,-39,-444
0.4,0,0.1,8.5,-36,-444
0.4,0,0.15,6.1,-23,-446
0.4,0,0.2,1.8,-4,-446
0.4,0,0.25,-15.8,84,-431
0.4,0,0.3,-18.4,99,-427
0.4,0,0.35,-19.6,108,-424
0.4,0,0.4,-22.4,121,-418
0.4,0,0.45,-23.9,128,-416
0.4,0,0.5,-25.7,137,-410
0.4,0,0.55,-26.9,142,-407
0.4,0,0.6,-28.4,150,-402
0.4,0,0.65,-29.3,155,-400
0.4,0,0.7,-30,159,-397
0.4,0,0.75,-32.5,169,-391
0.4,0,0.8,-33.6,174,-387
0.4,0,0.85,-35.1,184,-380
0.4,0,0.9,-36.2,188,-378
0.4,0,0.95,-39.1,201,-366
0.4,0,1,-39.9,205,-364
0.4,0,1.05,-42.1,212,-358
0.4,0,1.1,-43.9,221,-348
0.4,0,1.15,-45,227,-344
0.4,0,1.2,-48.2,237,-334
0.4,0,1.25,-49,241,-329
0.4,0,1.3,-50.3,245,-324
0.4,0,1.35,-52.4,253,-314
0.4,0,1.4,-53.6,257,-310
0.4,0,1.45,-56.1,265,-296
0.4,0,1.5,-57.5,269,-290
0.45,0,0,-25,154,-412
0.45,0.05,0,-24,149,-414
0.45,0.1,0,-24,149,-413
0.45,0.15,0,-23.6,149,-415
0.45,0.2,0,7.9,-8,-444
0.45,0.25,0,13.5,-36,-438
0.45,0.3,0,15.7,-47,-436
0.45,0.35,0,17.6,-60,-432
0.45,0.4,0,21.2,-77,-424
0.45,0.45,0,23.6,-86,-422
0.45,0.5,0,26.2,-101,-416
0.45,0.55,0,27.8,-107,-413
0.45,0.6,0,30.3,-120,-408
0.45,0.65,0,31.6,-123,-405
0.45,0.7,0,32.6,-127,-402
0.45,0.75,0,34.6,-135,-397
0.45,0.8,0,35.6,-139,-395
0.45,0.85,0,37.5,-147,-390
0.45,0.9,0,38.5,-151,-388
0.45,0.95,0,40.1,-156,-383
0.45,1,0,40.3,-159,-381
0.45,1.05,0,41.6,-162,-380
0.45,1.1,0,42.9,-167,-375
0.45,1.15,0,43.4,-171,-374
0.45,1.2,0,44.2,-174,-370
0.45,1.25,0,45.2,-177,-367
0.45,1.3,0,46,-179,-365
0.45,1.35,0,47,-183,-363
0.45,1.4,0,47.8,-185,-359
0.45,1.45,0,48.6,-188,-357
0.45,1.5,0,49.3,-191,-356
0.45,0,0,10.3,-41,-443
0.45,0,0.05,9.1,-37,-445
0.45,0,0.1,8.3,-35,-445
0.45,0,0.15,8.3,-35,-445
0.45,0,0.2,4.3,-17,-446
0.45,0,0.25,-14.7,79,-433
0.45,0,0.3,-17.1,95,-431
0.45,0,0.35,-18.7,104,-426
0.45,0,0.4,-22,120,-418
0.45,0,0.45,-23.6,127,-416
0.45,0,0.5,-25.4,136,-412
0.45,0,0.55,-26,141,-409
0.45,0,0.6,-28.3,151,-403
0.45,0,0.65,-29,154,-401
0.45,0,0.7,-29.9,158,-399
0.45,0,0.75,-31.7,166,-394
0.45,0,0.8,-32.7,171,-390
0.45,0,0.85,-34.4,181,-384
0.45,0,0.9,-35.6,185,-381
0.45,0,0.95,-38.1,196,-373
0.45,0,1,-38.6,199,-369
0.45,0,1.05,-40.5,205,-364
0.45,0,1.1,-41.8,212,-358
0.45,0,1.15,-42.9,217,-353
0.45,0,1.2,-44.4,224,-348
0.45,0,1.25,-46,231,-339
0.45,0,1.3,-47.6,237,-334
0.45,0,1.35,-49.3,241,-327
0.45,0,1.4,-50.8,248,-320
0.45,0,1.45,-52.5,253,-313
0.45,0,1.5,-54.6,259,-305
0.5,0,0,-23.2,146,-417
0.5,0.05,0,-22.7,143,-417
0.5,0.1,0,-22.4,141,-418
0.5,0.15,0,-22.5,141,-417
0.5,0.2,0,7.3,-8,-442
0.5,0.25,0,11.6,-31,-440
0.5,0.3,0,14.6,-42,-438
0.5,0.35,0,15.9,-51,-435
0.5,0.4,0,19.9,-70,-429
0.5,0.45,0,22,-81,-426
0.5,0.5,0,23.8,-92,-421
0.5,0.55,0,25.9,-99,-416
0.5,0.6,0,28.3,-111,-412
0.5,0.65,0,29.8,-116,-412
0.5,0.7,0,30.7,-121,-406
0.5,0.75,0,32.6,-129,-401
0.5,0.8,0,33.9,-132,-400
0.5,0.85,0,36,-141,-396
0.5,0.9,0,36.6,-145,-393
0.5,0.95,0,38.4,-151,-388
0.5,1,0,38.8,-154,-387
0.5,1.05,0,39.9,-158,-385
0.5,1.1,0,41.4,-162,-381
0.5,1.15,0,41.9,-165,-379
0.5,1.2,0,43.2,-170,-373
0.5,1.25,0,43.7,-171,-373
0.5,1.3,0,44.7,-174,-372
0.5,1.35,0,45.5,-178,-368
0.5,1.4,0,46,-180,-367
0.5,1.45,0,46.8,-183,-364
0.5,1.5,0,47.8,-185,-360
0.5,0,0,9.8,-40,-445
0.5,0,0.05,8.4,-37,-445
